Cognition,information/ mental processing
Representative Heuristic,"Assessment of situation based on similarity to mental representation of hypothesized situation e.g. walks like duck, quacks like duck"
Availability Heuristic,Judge of likelihood of event based on ease of which event comes to mind
,"- could biased by irrelevant chars( sailience, recency, simplicity of diagnosis e.g. airplane crash safety"
Anchoring Heu,(CN tower)
,
,-ÿÿÿÿÿÿÿÿÿ First impression is important
Bias,A systematic distortion or pattern of error
Confirmation bias,"After forming belief, ppl seek and give heavier weight on evidence, not seek inconsistent evidence e.g. belive is psychic"
Overconfidene bias,"Ppl tend to assume their judgements are much more accurate than they actually are e.g. PMs, and entrepreneurial"
Bias vs Heu,Bias: systematic distortion or pattern of error; heu: short cut
Factors affect DM,"Reference point, fraing effect, training and debiasing, DM support tools"
Ref point,"Is an event a gain or loss, relative, e.g. house burn down, ppl alive"
Framing effect,"e.g. 85% beef, vs 15% fat; tendency to make diff decisions depending on simple diffs in how situation are presented e.g. Decoy effect"
Decoy Effect,
Training and Debiasing,"Know heu and biases, learn math and stas; reply more on objective data than personal feeling"
Decision Support Sys,"Collect data, compare options, diagnose, make suggestions e.g. decision matrix"
,
Lec 11 Reaction and Control,
Measuring reaction,Reaction time and accuracy
Reaction time,Multiple categories of signals need diff reactions
Factors affect RT,
Stimuls modality,- Simple RT(130- 350ms)
,- sensory time diff: visual longer(30-50ms longer) than auditory and finger tip
Stimu intensity and expectancy,- Property and attention affect perception time; higher intensity -> shorter RT
,- higher expectancy -> short RT (e.g. road sign)
Random walk theory,- Evidence is aggregated/ accumulated over time;
,- reaction is made when enough info is accumulated
Motor movement factors,Movement distance and size; Fitt?s law used to evaluate interface design; compare control devices
,
,
Speed-accuracy trade-off,- Diffcult to be fast and accurate at same time
,- emphasis on speed or accuracy can be adjusted; trade-off relationship
Stimulus-response compatability,Location:
,"colocation principle, stove switch right besides element"
,Movement:
,Conceptual/ common rule:
Location compatability,Colocation: ctrls located next to items they control
,Congruence: spatial layout of ctrsl matches layout what they ctrl
Movement compatibility,Movement compat: best have direction of ctrl movement match pattern of display move
,e.g. Warwick principle: closet edge of ctrol should move in same dir as display
Conceptual/common rule/ stereotype,Rules: establishing consistent rules;
,"- clockwise increase, move ctrl up; e.g. survey ranking and score"
Ctrl modalities,"Manual, buttons, keyboards; Sound: sound on/off ctrl, speech recog; EEG:- discrete commands, classification"
Methods prevent accidental activation,"Resistance, require relatively large force; concave, sunken shape"
,
Lec 12: Human Errors and Risk Management,
Backover case,"Can?t see: sensory issue;  don?t know: memo, SA issue"
Heat stroke,"Forget: memo issue. Remedy: education, reminders"
Human Error,Three terms
1,Errorneous action leading to unwanted results: E.g. medical diagnosis errors
2,"Cause of error is human: 2 types of causes, human or nature"
3,"Assign blames to humans, e.g. to field operators; from sharp end active failure to blunt end latent failure;  e.g. casey ATM case"
Categories of human error,
Mistakes,"- Intedend action was believed to be appropriate, but in fact not; results unwanted."
,"- relate to perception, SA, and response selection;"
Violaion/Sabotage,"Not error, results are unwanted"
Slips,"- Intended action is in fact appropriate, but is not carried out correctly"
,"- related to attention, response execution e.g. keyboard slip"
Lapses,"- an intended action is forgotten, not carried out;"
,- related to memo e.g. gas trigger; how to reduce lapses
Mode errors,"- action is appropriate in 1 sys mode, but carried out in diff mode"
Error analysis model,
Domino,Accidents are the results of a series of events(causality link)
Swiss cheese model,"Defense layers not perfect, has holes; hazard pass thru each def layer; accidents are results of defence failures"
THERP,Quantitative: Technique for human error prediction
,1. Draw event tree/ prob tree
,2. estimate baseline Human error probability(HEP) for each event
,3. apply perfor shaping factors
,4. computer probability for each outcome
,5. use sensitivity analysis to improve diff events
STAMP,Systes-Theoretic Accident Model and Process
,- dynamics and interactions between system components
Risk mngmt model,"Risk eval, risk avoidance, risk reduction, risk sharing, risk acceptance"
5 patterns in earlier accidents,1. drift towards failure as defenses erode in face of production issue
,2. taking past success as reason for confi
,3. fragmented problem solving
,4. failure to revise assessment as new evidence comes in
,"5. breakdowns at boundaries, leading to communication and coordination breakdowns"
Resilience eng,Ability to moving back to safety after drifting towards risky boundaries
,
Lec 14: Mental Workload and Stress,
Workload,Workload diff from performance;
Mental workload,"Relative amount of resources used, can tell remaining ?reserve capacity? e.g. computer ram usage analogy"
Physical workload,Quantified by : task ener require / human physical ener capacity
,"Too high: fatigue, overload"
,Too low: muscle strength reduction
Difficulty in defining mental workload,"Mental workload: memory capacity chunks, processing time, attention resources"
Time-line analysis,Time as unit of mental resource capacity: assume one gen pool of mental resource
Mental workload,"Multiple resources: stages, processing codes, perceptual modality"
General capacity,Working memo capacity: 7+-2
,Speed: simple reaction 130-350ms
Mental workload measure,2ndary task perform;   subjective rating;    physiological measure;    computational modelling
2ndary task measure,"Perform a 2nd task, which uses the remaining resources (need to be difficult enough)"
Embedded 2ndary tasks,
EEG,"Spectral analysis, time domain to freq domain;"
ERP,Event-related potentials: from averaging EEG results
Physiological mental workload measures,"Oxygen consumption, blood flow; hear-rate variability; pupil diameter"
Stress,A reaction to stressors
Stressors,Stimuli or cdns that are perceived to disrupt/threaten one?s perfo and well-being
,- cognitive appraisal: lvl of stress depends on person?s assessment of stressor/challenge e.g. public speaking to some ppl
Stressors,"Enviroment: noise, temp, vibration, drugs"
,"Psychological: anxiety, frustration, fatigue"
Effects of Stress,"Affect: feelings, emotion, desire"
,"Physiology changes: heart rate, hormone"
,Physical perfor
,Cognitive perfo
SYerkes-Dodson law,Too much or too little is bad; optimal level depends on task complexity
Loss of vigilance,"Stress/ workload too low e.g. breakdown of vigilance during prolonged visual search, long distance driving in straight road"
,- monotonous task
Measure stress,"Physiological Measure: skin conductance, hormone lvl; Subjective rating: DSSQ"
Hormone test,"Salive test, increase during stressful material"
DSSQ,Questionnaire  Dundee Stress State Questionnaire DWSSQ
Effects of stress on cognitive perfo,"Narrow attention, reduce working memory, enhance LT memo encoding"
,Sacrifice accuracy for speed; reduce alternative considered in DM
Stress effects on attention,Narrows attention: could increase attentional selectivity
,- narrow attention to focus on what is most important
Stress of WM,- reduces WM capacity: distract attn. from verbal or spatial
Stress on LTM encoding,- enhances LT memo encoding of arousing events
Stress of speed-accuracy tradeoff,- encourage ppl to trade accuracy for speed;
,"- encourage shift away from slow, normative DM towards faster more intuitive heuristic"
Stress on DM,"- reduce # of alters considered; premature closure, reduce decision quality"
,
Relevant definition,
HEP,Performance shaping factor(PSF) / error factor(EF)
Choice RT,"Multiple categories of signal need diff reactions; e.g. shot bad vs good guys, Choice RT ? simple RT = response selection time"
Memo item strength spreading activation,"e.g. think a kangaroo, then think a country"
,
Subjective mental workload ting,- Bedford workload scale
,- Nasa-tlx(task load index)
Measure SA,
,
,
,
